id,full_equation,complexity,full_equation_tokens_bpe,full_equation_token_ids
127,m=(1/3-lambda_min)/(1/3-mu),2,m=(1/3-lambda_min)/(1/3-mu),"[656, 194, 648, 538, 67, 666]"
5960,V=sqrt(2+B_avg+r_i+s^-1)+(e+v-V_f*R)/(v)-cos(v+phi_avg+beta_max)-(h+d)/(3+e+theta),5,V=sqrt(2+B_avg+r_i+s^-1)+(e+v-V_f*R)/(v)-cos(v+phi_avg+beta_max)-(h+d)/(3+e+theta),"[424, 302, 149, 325, 513, 702, 528, 706, 456, 41, 608, 742, 424, 519, 403, 57, 738, 49, 599, 741, 691, 513, 589, 531, 50, 631, 600, 75, 608, 732]"
3877,T=(4+r)^n,2,T=(4+r)^n,"[415, 199, 702, 98]"
4452,V=(1-p)/(A),2,V=(1-p)/(A),"[424, 188, 680, 57, 318]"
7148,m=sqrt(2+e+b+epsilon_i),3,m=sqrt(2+e+b+epsilon_i),"[656, 302, 154, 581, 611, 525]"
3532,a=(2+gamma)^2,2,a=(2+gamma)^2,"[558, 195, 625, 89]"
828,Q_i=tan(2+pi+h_2+n_rms),3,Q_i=tan(2+pi+h_2+n_rms),"[395, 524, 315, 157, 628, 506, 669, 554]"
7791,I=P_max,1,I=P_max,"[366, 386, 531]"
985,y_0=G*h_rms+E^circ*delta_i-pi+tau_i^-1*tau-pi+w,5,y_0=G*h_rms+E^circ*delta_i-pi+tau_i^-1*tau-pi+w,"[765, 488, 183, 359, 628, 556, 343, 478, 604, 529, 696, 727, 524, 459, 730, 696, 752]"
7784,W_1=partialR/partialr,4,W_1=partialR/partialr,"[432, 495, 289, 142]"
2444,I=partialP/partialx,4,I=partialP/partialx,"[362, 287, 145]"
8555,v=exp(epsilon+I*g_max)-2/3*e+V_f+log(1-pi*u_min+T*s^2),5,v=exp(epsilon+I*g_max)-2/3*e+V_f+log(1-pi*u_min+T*s^2),"[738, 258, 613, 364, 617, 531, 49, 159, 608, 424, 520, 654, 11, 695, 734, 542, 417, 706, 463]"
346,a=T_1,1,a=T_1,"[563, 415, 495]"
815,I=cos(G+beta_0+mu_net+v_i)-partialv/partialy,5,I=cos(G+beta_0+mu_net+v_i)-partialv/partialy,"[362, 234, 360, 589, 492, 665, 545, 122, 524, 55, 738, 146]"
6167,R=(1/3*n_net)/(a_avg),2,R=(1/3*n_net)/(a_avg),"[403, 192, 669, 547, 558, 510]"
5780,h=h+sigma-T^3+sum_k=0^N(4/3+N_A+F_min+g_0+P_2),5,h=h+sigma-T^3+sum_k=0^N(4/3+N_A+F_min+g_0+P_2),"[633, 631, 709, 124, 415, 470, 719, 204, 37, 384, 351, 542, 617, 492, 386, 503]"
2117,T=(phi)/(2/3*z_2),2,T=(phi)/(2/3*z_2),"[420, 691, 71, 774, 503]"
794,I_min=dI/dt,4,I_min=dI/dt,"[362, 538, 240, 136]"
6899,h_0=int_a^inf(2+G+u+a)dx,4,h_0=int_a^inf(2+G+u+a)dx,"[628, 488, 274, 150, 734, 117, 109]"
2675,a=int_0^inf(theta_i)dr-log(e+b_avg)+(3*k-B)/(c*n),5,a=int_0^inf(theta_i)dr-log(e+b_avg)+(3*k-B)/(c*n),"[558, 267, 731, 524, 107, 124, 655, 608, 579, 509, 41, 167, 647, 325, 57, 595, 670]"
95,C_1=exp(2/3*e-x_avg)+(3+c*w_0^-1-C)/(1/3*G*I^*)+3*c+psi_net,5,C_1=exp(2/3*e-x_avg)+(3+c*w_0^-1-C)/(1/3*G*I^*)+3*c+psi_net,"[334, 495, 258, 159, 609, 756, 509, 41, 168, 595, 752, 488, 461, 334, 65, 359, 362, 441, 40, 167, 596, 698, 545]"
4226,n=mu_rms,1,n=mu_rms,"[672, 665, 553]"
3757,B_1=(4+C)^3,2,B_1=(4+C)^3,"[325, 495, 199, 334, 94]"
2892,I_net=(F)/(P_i),2,I_net=(F)/(P_i),"[362, 552, 351, 57, 386, 525]"
2372,m=(psi)/(d),2,m=(psi)/(d),"[662, 698, 57, 601]"
9389,h_net=partiala/partialy,4,h_net=partiala/partialy,"[628, 545, 292, 146]"
3229,n=sum_j=0^n(pi+W_max^-1+T_i+V),4,n=sum_j=0^n(pi+W_max^-1+T_i+V),"[669, 308, 696, 432, 531, 460, 415, 528, 425]"
7864,z=int(h+A^2+C)dt,4,z=int(h+A^2+C)dt,"[774, 261, 631, 317, 465, 334, 108]"
6360,P_0=cos(B_f^-1+a^n+z)+(h+R+gamma+L)^-1-1/3+d*b^3+1/3*R*x_f^*,5,P_0=cos(B_f^-1+a^n+z)+(h+R+gamma+L)^-1-1/3+d*b^3+1/3*R*x_f^*,"[392, 234, 325, 516, 456, 117, 486, 774, 41, 631, 406, 627, 372, 84, 126, 134, 600, 111, 579, 470, 147, 133, 405, 756, 516, 441]"
9197,F=tau^n,2,F=tau^n,"[354, 727, 483]"
7327,y=a^2,2,y=a^2,"[770, 558, 462]"
6029,v=sum_j=0^N(d_avg+s),4,v=sum_j=0^N(d_avg+s),"[738, 307, 205, 600, 513, 707]"
1866,b=lambda_i,1,b=lambda_i,"[582, 648, 524]"
4613,n=exp(e-lambda+c),3,n=exp(e-lambda+c),"[669, 258, 609, 650, 594]"
2646,F=4+n,1,F=4+n,"[351, 228, 669]"
2244,E=partialh/partialt,4,E=partialh/partialt,"[343, 294, 143]"
5374,a_net=int_L^L(1/2+m+m_i)dt,4,a_net=int_L^L(1/2+m+m_i)dt,"[558, 545, 268, 472, 13, 659, 656, 524, 108]"
2337,I_f=(3-c)/(2-A),2,I_f=(3-c)/(2-A),"[362, 523, 176, 593, 70, 318]"
951,V=beta,1,V=beta,"[428, 589]"
1121,I=1/2-T,1,I=1/2-T,"[362, 216, 415]"
2205,A_2=(1+c+s^*)^n+da/dt,5,A_2=(1+c+s^*)^n+da/dt,"[317, 502, 187, 596, 706, 441, 99, 603, 136]"
420,z=(2+e+lambda)^1/2+(1+R_f*A_net+beta_min)/(k-R^circ+b)-(d_0+x)/(d_f)+h+w_min^*-v,5,z=(2+e+lambda)^1/2+(1+R_f*A_net+beta_min)/(k-R^circ+b)-(d_0+x)/(d_f)+h+w_min^*-v,"[774, 195, 608, 648, 87, 3, 403, 519, 317, 549, 589, 540, 647, 403, 479, 579, 50, 600, 492, 756, 57, 600, 516, 40, 631, 752, 538, 445, 738]"
923,B=tan(e-r-gamma_2),3,B=tan(e-r-gamma_2),"[325, 315, 609, 705, 625, 503]"
8670,p=1*N_A*B+omega*x_0+(h+beta+t_i+n)^n-da/dt,5,p=1*N_A*B+omega*x_0+(h+beta+t_i+n)^n-da/dt,"[680, 211, 383, 327, 676, 111, 756, 488, 115, 631, 589, 121, 528, 669, 104, 603, 136]"
5409,E=sum_n=0^n(1+R+p+E+u^-),4,E=sum_n=0^n(1+R+p+E+u^-),"[343, 313, 208, 5, 682, 346, 734, 452]"
5789,T=dV/dx,4,T=dV/dx,"[415, 247, 139]"
5743,p=sin(e+tau_min+b),3,p=sin(e+tau_min+b),"[680, 300, 608, 727, 542, 580]"
7668,A=cos(N_A+z_f+delta_rms),3,A=cos(N_A+z_f+delta_rms),"[317, 234, 384, 774, 520, 604, 554]"
5568,a_min=sqrt(h_f+v),3,a_min=sqrt(h_f+v),"[574, 302, 628, 516, 123]"
8136,W=s,1,W=s,"[432, 298]"
1203,E_1=exp(delta+C),3,E_1=exp(delta+C),"[349, 258, 606, 335]"
5766,a=2/3*c_f,1,a=2/3*c_f,"[563, 159, 593, 516]"
8390,a=ln(1/2+x+P+F_avg)-(e-x_i+epsilon)/(2*R+v)-(c+p_2+A)^2-(2-I_0-s-z)/(3-c-u_2+L+F_1),5,a=ln(1/2+x+P+F_avg)-(e-x_i+epsilon)/(2*R+v)-(c+p_2+A)^2-(2-I_0-s-z)/(3-c-u_2+L+F_1),"[563, 652, 13, 758, 388, 356, 50, 609, 756, 528, 611, 68, 406, 738, 50, 596, 680, 506, 317, 93, 158, 362, 493, 706, 124, 774, 76, 597, 734, 506, 376, 351, 496]"
1971,p=1-x_f,1,p=1-x_f,"[680, 213, 756, 516]"
4019,W=sum_i=1^n(c+Q_avg+p+t^circ),4,W=sum_i=1^n(c+Q_avg+p+t^circ),"[432, 303, 225, 596, 395, 513, 680, 121, 477]"
3688,B=sqrt(mu*epsilon_max),3,B=sqrt(mu*epsilon_max),"[325, 302, 665, 111, 611, 532]"
1998,B=cos(N_A+z),3,B=cos(N_A+z),"[325, 234, 384, 775]"
4034,P=dp/dt,4,P=dp/dt,"[386, 236, 680, 136]"
1249,A_0=sum_i=0^n(R+w_max^2),4,A_0=sum_i=0^n(R+w_max^2),"[323, 305, 406, 752, 531, 463]"
2193,E=exp(1/2+P),3,E=exp(1/2+P),"[343, 257, 13, 387]"
2713,I=exp(c+L+P),3,I=exp(c+L+P),"[362, 258, 596, 376, 387]"
2191,T=3+psi_1,1,T=3+psi_1,"[419, 168, 698, 495]"
4671,W=s_net,1,W=s_net,"[432, 298, 545]"
5143,p_rms=cos(2/3+V+m),3,p_rms=cos(2/3+V+m),"[680, 553, 234, 160, 426, 657]"
5985,E=1-R*x+E-F^*+int_L^L(c+g+L_2+a^3)dV,5,E=1-R*x+E-F^*+int_L^L(c+g+L_2+a^3)dV,"[343, 213, 405, 758, 343, 124, 351, 444, 643, 473, 596, 620, 372, 506, 558, 467, 106]"
6566,R=3-E_0,1,R=3-E_0,"[408, 176, 343, 488]"
7805,x=dP/dt+beta_0+E,5,x=dP/dt+beta_0+E,"[756, 242, 137, 589, 492, 343]"
6944,a_f=sum_k=1^n(4/3+k+W+g_net+Q_max),4,a_f=sum_k=1^n(4/3+k+W+g_net+Q_max),"[571, 312, 181, 646, 435, 617, 549, 395, 532]"
2137,A=s_1^2,2,A=s_1^2,"[317, 298, 495, 462]"
1066,V=1/2-t,1,V=1/2-t,"[424, 216, 721]"
601,B=4/3*x,1,B=4/3*x,"[325, 230, 756]"
4228,m=sin(G+T_avg+E),3,m=sin(G+T_avg+E),"[656, 300, 360, 415, 513, 344]"
7578,W_2=sqrt(3-h+gamma),3,W_2=sqrt(3-h+gamma),"[432, 502, 302, 176, 631, 626]"
78,v=tan(3+c+C_min+T),3,v=tan(3+c+C_min+T),"[738, 315, 172, 334, 542, 416]"
7547,y=(P_0)/(4/3+sigma),2,y=(P_0)/(4/3+sigma),"[771, 392, 82, 710]"
2899,B=dA/dx,4,B=dA/dx,"[325, 237, 139]"
4821,a=4*b_avg,1,a=4*b_avg,"[558, 227, 579, 509]"
9303,b=cos(1/3+R+p+T),3,b=cos(1/3+R+p+T),"[579, 233, 22, 406, 682, 416]"
6414,n=int_a^inf(c+I+psi_avg)dV,4,n=int_a^inf(c+I+psi_avg)dV,"[669, 274, 596, 365, 698, 509, 106]"
9065,E_avg=(G+W-delta_2)/(R*psi_1-m_2*w_0)-sqrt(2/3-alpha^2),5,E_avg=(G+W-delta_2)/(R*psi_1-m_2*w_0)-sqrt(2/3-alpha^2),"[343, 515, 360, 436, 604, 504, 405, 698, 500, 656, 505, 752, 488, 49, 716, 166, 576, 463]"
8008,A=tan(4-x_i-b_f),3,A=tan(4-x_i-b_f),"[317, 315, 180, 756, 529, 579, 517]"
5469,a=sum_k=0^inf(F_rms+omega+s),4,a=sum_k=0^inf(F_rms+omega+s),"[558, 311, 351, 556, 678, 707]"
5952,V=(P_max)/(beta_0),2,V=(P_max)/(beta_0),"[429, 386, 533, 589, 489]"
3392,L_0=(2*epsilon_1)/(z),2,L_0=(2*epsilon_1)/(z),"[372, 494, 148, 611, 497, 775]"
5416,g=mu_f,1,g=mu_f,"[621, 665, 516]"
2561,m=1/3-v_0,1,m=1/3-v_0,"[656, 219, 745]"
8163,n=ln(1+N_A+sigma+W_max),3,n=ln(1+N_A+sigma+W_max),"[672, 652, 3, 384, 712, 432, 532]"
2636,C=psi_f,1,C=psi_f,"[337, 698, 516]"
5257,a=(tau)/(1-v),2,a=(tau)/(1-v),"[564, 727, 61, 739]"
3531,z=u_rms,1,z=u_rms,"[777, 734, 553]"
8568,L_2=cos(e+Q+psi_min),3,L_2=cos(e+Q+psi_min),"[372, 502, 234, 608, 397, 698, 539]"
1909,h=sum_j=0^n(1/3+B),4,h=sum_j=0^n(1/3+B),"[628, 307, 208, 22, 326]"
236,I=v_net,1,I=v_net,"[366, 750]"
1605,I=(4/3+h+s_1^-)^3+4-pi-mu+h+g,5,I=(4/3+h+s_1^-)^3+4-pi-mu+h+g,"[362, 202, 631, 706, 495, 451, 95, 180, 697, 667, 631, 617]"
7985,g_2=(C)/(c*alpha+w_max^-1)+2/3*e*phi,5,g_2=(C)/(c*alpha+w_max^-1)+2/3*e*phi,"[617, 508, 334, 57, 595, 578, 752, 531, 458, 159, 607, 691]"
3491,z=I,1,z=I,"[777, 362]"
1995,L=(pi+I_rms)^n+(e+v)^-1-(T+phi_1-omega_1)/(1/3-pi-m*r),5,L=(pi+I_rms)^n+(e+v)^-1-(T+phi_1-omega_1)/(1/3-pi-m*r),"[378, 696, 371, 100, 608, 738, 84, 125, 418, 691, 500, 676, 495, 67, 697, 658, 703]"
2825,E=(e+A^n)/(A^2)-(c+s+a+gamma)^n-(1+a_net+sigma_rms+u_0^circ)^n,5,E=(e+A^n)/(A^2)-(c+s+a+gamma)^n-(1+a_net+sigma_rms+u_0^circ)^n,"[348, 608, 317, 483, 57, 317, 462, 50, 596, 706, 119, 625, 104, 3, 558, 549, 709, 556, 734, 488, 476, 98]"
9286,m=c_1,1,m=c_1,"[661, 593, 495]"
1343,R=exp(lambda*P),3,R=exp(lambda*P),"[403, 258, 648, 111, 387]"
8513,V=log(omega*beta),3,V=log(omega*beta),"[424, 278, 676, 111, 590]"
1620,E=(pi-n)/(tau+x^-)-dF/dt,5,E=(pi-n)/(tau+x^-)-dF/dt,"[348, 697, 669, 57, 729, 756, 451, 53, 351, 136]"
5288,b=ln(1/2+gamma_net),3,b=ln(1/2+gamma_net),"[582, 652, 13, 625, 546]"
2061,A=theta,1,A=theta,"[321, 731]"
9956,m=W,1,m=W,"[661, 432]"
2220,V=cos(1/3+y_net+m^+)-log(c*a_avg+psi_0^circ*sigma_max)-dQ/dt,5,V=cos(1/3+y_net+m^+)-log(c*a_avg+psi_0^circ*sigma_max)-dQ/dt,"[424, 233, 22, 765, 549, 656, 446, 49, 655, 595, 558, 513, 698, 488, 478, 709, 531, 53, 395, 136]"
6039,b=int_L^L(e+a+L_min)dt,4,b=int_L^L(e+a+L_min)dt,"[579, 269, 608, 561, 372, 538, 108]"
261,a=h,1,a=h,"[563, 628]"
9366,b=1/2*R_rms,1,b=1/2*R_rms,"[579, 214, 414]"
9094,T=dI/dt,4,T=dI/dt,"[415, 240, 136]"
3745,a=(a_i+n_max^2+gamma)^n+cos(pi+w_i*E_min)-partialg/partialx,5,a=(a_i+n_max^2+gamma)^n+cos(pi+w_i*E_min)-partialg/partialx,"[564, 558, 528, 669, 531, 465, 625, 99, 599, 696, 752, 527, 343, 538, 55, 617, 145]"
2027,b=(1+B)^n,2,b=(1+B)^n,"[579, 187, 325, 98]"
6989,h=partialp/partialt,4,h=partialp/partialt,"[628, 297, 143]"
4235,F_1=(3+h+F_max+A_2)^n+1-pi+x_f+g^+-delta,5,F_1=(3+h+F_max+A_2)^n+1-pi+x_f+g^+-delta,"[351, 495, 197, 631, 351, 535, 317, 502, 103, 696, 756, 520, 617, 450, 604]"
1918,n=tan(R*R_0*tau),3,n=tan(R*R_0*tau),"[669, 315, 405, 403, 491, 728]"
1829,y=dV/dt,4,y=dV/dt,"[765, 247, 136]"
6234,T=sum_i=1^N(c+W_i^n+p+v^*),4,T=sum_i=1^N(c+W_i^n+p+v^*),"[415, 303, 221, 596, 432, 524, 486, 680, 122, 442]"
9333,Q=exp(1/2*psi_i-F_2),3,Q=exp(1/2*psi_i-F_2),"[395, 257, 12, 698, 529, 351, 503]"
6284,n=dW/dx,4,n=dW/dx,"[669, 248, 139]"
4209,y_f=partialE/partialx,4,y_f=partialE/partialx,"[765, 516, 283, 145]"
225,y=I^3+ln(R+p+lambda+a_1)-int_L^b(e+s^2+u)dV,5,y=I^3+ln(R+p+lambda+a_1)-int_L^b(e+s^2+u)dV,"[770, 362, 470, 653, 406, 682, 648, 117, 495, 49, 643, 475, 608, 706, 465, 734, 106]"
8916,x=lambda,1,x=lambda,"[760, 648]"
6470,y=(2/3+h+B_0+tau_max)^n+1-exp(4+R+p_f+z+tau_2)-(4+k+a^circ-g^-)/(c+b*E-Q_avg^2),5,y=(2/3+h+B_0+tau_max)^n+1-exp(4+R+p_f+z+tau_2)-(4+k+a^circ-g^-)/(c+b*E-Q_avg^2),"[765, 196, 631, 325, 492, 727, 531, 103, 615, 32, 406, 680, 520, 776, 727, 502, 49, 32, 646, 558, 480, 617, 451, 57, 596, 579, 111, 343, 124, 401, 463]"
9414,a=sum_k=0^n(1/3+R+a+z),4,a=sum_k=0^n(1/3+R+a+z),"[558, 310, 208, 22, 406, 561, 775]"
847,Q_i=(P)/(R),2,Q_i=(P)/(R),"[395, 530, 386, 57, 404]"
4290,b_min=(e+d)^-1+(1*mu+mu_avg)/(G+r*c)-(I_net^-+delta)^n+1-(p*theta_avg^2)/(2/3+c-y),5,b_min=(e+d)^-1+(1*mu+mu_avg)/(G+r*c)-(I_net^-+delta)^n+1-(p*theta_avg^2)/(2/3+c-y),"[579, 538, 184, 608, 600, 85, 2, 667, 665, 511, 360, 702, 111, 593, 50, 362, 545, 454, 604, 101, 125, 680, 111, 731, 509, 462, 72, 597, 766]"
5561,x=4/3+lambda,1,x=4/3+lambda,"[756, 231, 648]"
2552,b=(1-y)/(t_avg),2,b=(1-y)/(t_avg),"[579, 188, 765, 57, 721, 510]"
118,m=log(phi*s_1),3,m=log(phi*s_1),"[656, 278, 693, 706, 496]"
8838,h_0=tan(c+omega),3,h_0=tan(c+omega),"[628, 488, 315, 596, 677]"
5967,P=s^3,2,P=s^3,"[386, 298, 467]"
8196,R=p,1,R=p,"[408, 680]"
8660,a=partiala/partialt-(1*e+phi*R*theta_f)/(c+x*beta-b)-dA/dx+(R+C_f)^-1,5,a=partiala/partialt-(1*e+phi*R*theta_f)/(c+x*beta-b)-dA/dx+(R+C_f)^-1,"[566, 558, 143, 124, 2, 608, 693, 405, 731, 518, 596, 756, 111, 589, 124, 579, 53, 317, 139, 115, 406, 334, 516, 84]"
7490,v_min=exp(r+E_i+beta^3)+partialA/partialx,5,v_min=exp(r+E_i+beta^3)+partialA/partialx,"[749, 258, 704, 343, 528, 589, 467, 47, 317, 145]"
6,m=2/3*E,1,m=2/3*E,"[661, 159, 343]"
5343,R=exp(1*h+mu),3,R=exp(1*h+mu),"[403, 257, 2, 631, 666]"
9112,g=(psi)/(z_1),2,g=(psi)/(z_1),"[622, 698, 57, 774, 496]"
4325,T=(c*E-Q_i*s)/(1/2-b_2*V)-(4/3-R+a+mu_net)/(F),5,T=(c*E-Q_i*s)/(1/2-b_2*V)-(4/3-R+a+mu_net)/(F),"[420, 595, 343, 124, 395, 527, 706, 64, 579, 505, 424, 49, 38, 406, 561, 665, 547, 352]"
1064,b=partialC/partialr,4,b=partialC/partialr,"[579, 282, 142]"
2591,z=1/2*epsilon,1,z=1/2*epsilon,"[774, 214, 611]"
8435,m=partialW/partialx-(N_A-I_i-beta_0-sigma)/(3-c*a_i-a_rms^+-C)-cos(R+W_rms),5,m=partialW/partialx-(N_A-I_i-beta_0-sigma)/(3-c*a_i-a_rms^+-C)-cos(R+W_rms),"[656, 291, 145, 125, 385, 362, 529, 589, 493, 709, 76, 595, 558, 529, 575, 450, 334, 49, 599, 406, 432, 554]"
3736,x=h_i,1,x=h_i,"[760, 636]"
3518,R=tan(R_net+W),3,R=tan(R_net+W),"[403, 315, 403, 549, 433]"
6987,E=(2/3*V_net)/(1/2+A),2,E=(2/3*V_net)/(1/2+A),"[348, 159, 424, 545, 63, 318]"
6768,x=sqrt(R-g+delta),3,x=sqrt(R-g+delta),"[756, 302, 407, 620, 605]"
5623,E=ln(m_2+delta_avg),3,E=ln(m_2+delta_avg),"[343, 275, 656, 506, 604, 510]"
1606,h=1/3+gamma,1,h=1/3+gamma,"[628, 218, 625]"
1734,F=int(4+N_A+t^*+F)dV,4,F=int(4+N_A+t^*+F)dV,"[351, 260, 32, 384, 721, 444, 351, 106]"
9342,a=(theta)/(Q),2,a=(theta)/(Q),"[564, 731, 57, 396]"
3813,y_f=cos(4+N_A+x+E),3,y_f=cos(4+N_A+x+E),"[765, 516, 235, 384, 758, 344]"
9625,P_1=(Q_0+gamma+r)^2-(1/3+r_2*Q_rms+P)/(c-d+omega*epsilon_rms)-sin(N_A-n_i^2)+(2+k+C+psi_max+R)^n,5,P_1=(Q_0+gamma+r)^2-(1/3+r_2*Q_rms+P)/(c-d+omega*epsilon_rms)-sin(N_A-n_i^2)+(2+k+C+psi_max+R)^n,"[386, 501, 395, 492, 627, 702, 92, 22, 702, 505, 395, 556, 386, 57, 597, 602, 676, 111, 611, 553, 49, 714, 385, 669, 524, 462, 41, 156, 336, 698, 535, 403, 98]"
1762,R=(4/3+n)/(theta),2,R=(4/3+n)/(theta),"[403, 202, 669, 57, 732]"
5402,g=(4+v)/(2/3-C_net),2,g=(4+v)/(2/3-C_net),"[617, 198, 122, 73, 334, 546]"
2740,I=ln(pi+x)+dn/dt,5,I=ln(pi+x)+dn/dt,"[362, 275, 696, 756, 45, 669, 136]"
2473,Q=exp(1+F),3,Q=exp(1+F),"[395, 257, 3, 352]"
6739,y=int_0^b(2+e+p)dr,4,y=int_0^b(2+e+p)dr,"[765, 266, 154, 680, 107]"
6892,I=(s_i)/(4/3*r_f),2,I=(s_i)/(4/3*r_f),"[367, 706, 524, 81, 702, 517]"
7944,A=int(h+delta_min^*)dr,4,A=int(h+delta_min^*)dr,"[317, 261, 631, 604, 538, 441, 107]"
4207,n=(1/3+p)^2,2,n=(1/3+p)^2,"[669, 193, 680, 89]"
6372,W=(A)/(psi_avg),2,W=(A)/(psi_avg),"[438, 317, 57, 698, 510]"
233,E=ln(omega+w),3,E=ln(omega+w),"[343, 275, 678, 753]"
8259,L_avg=dI/dt,4,L_avg=dI/dt,"[380, 240, 136]"
7562,V_2=(s_f)/(beta),2,V_2=(s_f)/(beta),"[424, 508, 706, 518, 590]"
6169,z_1=int_0^L(G+I+m)dx,4,z_1=int_0^L(G+I+m)dx,"[774, 495, 265, 360, 365, 656, 109]"
3597,A=(1/2+Q_1)^3,2,A=(1/2+Q_1)^3,"[317, 190, 400, 94]"
6289,T_1=partialT/partialx,4,T_1=partialT/partialx,"[415, 495, 290, 145]"
4633,h_min=log(pi+W_f),3,h_min=log(pi+W_f),"[638, 278, 696, 432, 517]"
126,g=3-P,1,g=3-P,"[621, 176, 386]"
7642,n=(4+V)^3,2,n=(4+V)^3,"[669, 199, 424, 94]"
